label,train_sample,MaxIntensity,kurtosis,ClusterProminence_AllDirection_offset4_SD,Correlation_angle0_offset7,HaralickCorrelation_AllDirection_offset4_SD,HaralickCorrelation_angle45_offset7,Inertia_AllDirection_offset1_SD,Inertia_AllDirection_offset7_SD,GreyLevelNonuniformity_AllDirection_offset7_SD,HighGreyLevelRunEmphasis_AllDirection_offset7_SD,LongRunEmphasis_AllDirection_offset4_SD,LongRunLowGreyLevelEmphasis_angle90_offset1,ShortRunEmphasis_angle90_offset1,ShortRunHighGreyLevelEmphasis_AllDirection_offset4_SD,ShortRunHighGreyLevelEmphasis_AllDirection_offset7_SD,SurfaceVolumeRatio,HighIntensitySmallAreaEmphasis,IntensityVariability,LowIntensityLargeAreaEmphasis,4kurtosis,4ClusterProminence_AllDirection_offset4_SD,4ClusterProminence_angle0_offset4,4ClusterShade_AllDirection_offset7_SD,4Correlation_angle45_offset7,4Correlation_angle90_offset7,4GLCMEnergy_angle0_offset7,4GLCMEnergy_angle135_offset7,4GLCMEntropy_AllDirection_offset1_SD,4GLCMEntropy_AllDirection_offset4_SD,4HaralickCorrelation_AllDirection_offset4_SD,4HaralickCorrelation_angle135_offset4,4HaralickCorrelation_angle45_offset7,4GreyLevelNonuniformity_AllDirection_offset1_SD,4GreyLevelNonuniformity_AllDirection_offset7_SD,4HighGreyLevelRunEmphasis_AllDirection_offset1_SD,4LongRunEmphasis_AllDirection_offset1_SD,4LongRunEmphasis_angle0_offset4,4LongRunEmphasis_angle90_offset1,4LongRunEmphasis_angle90_offset4,4LongRunHighGreyLevelEmphasis_AllDirection_offset4_SD,4LongRunHighGreyLevelEmphasis_angle90_offset7,4LongRunLowGreyLevelEmphasis_angle0_offset1,4LongRunLowGreyLevelEmphasis_angle90_offset1,4ShortRunEmphasis_AllDirection_offset7,4ShortRunEmphasis_angle0_offset7,4ShortRunEmphasis_angle135_offset7,4ShortRunHighGreyLevelEmphasis_AllDirection_offset7_SD,4ShortRunHighGreyLevelEmphasis_angle45_offset1,4SurfaceVolumeRatio,4SmallAreaEmphasis,4ZonePercentage,,RAD
1,1,2.915862,-0.607252,-0.12659621,0.84778523,-0.3297339,-1.0230491,-0.23468447,-0.15583272,0.026007643,2.485065,-0.9206904,0.8766981,0.08295526,2.0072627,1.7272534,0.23916878,-1.9453009,-0.5865312,-0.47249463,-0.6279116,-0.08292081,-0.13408488,-0.05478539,-0.33888128,1.106198,1.3143046,0.28550765,0.54889244,-0.020445682,-0.6461824,1.181613,0.5899096,-0.13341072,-0.5731873,0.5320725,-0.80086696,-0.05752244,0.786188,0.06299424,-0.7097917,0.8471126,-1.7477142,0.5683144,-0.839391,-1.2698979,-0.23288567,1.3976053,1.6069208,-0.65221834,-0.6221002,-0.84443307,,2.672820639
1,1,-0.84874505,0.4577164,10.8742695,-0.44154835,-0.4594913,-0.63046545,-0.22929883,0.99327856,-0.560452,0.19742544,0.3136928,0.12084569,0.3261971,-0.8945538,-0.87241405,-0.179911,-0.38222158,-0.23998263,-0.2795629,0.8115129,-0.08278661,0.054988854,-0.054768346,0.118516415,-0.2320319,-0.7820082,4.116226,-0.93586063,1.8126637,2.420499,2.3691971,-0.0001308,-0.9356801,-0.6602105,1.2054025,-0.62028575,0.44727683,0.6698128,0.38122484,-0.49815884,-1.2175393,0.86258644,0.70047027,1.1907817,0.08856318,1.4578688,-0.72375774,-0.7766702,2.4533517,1.1848946,1.6026003,,11.66794677
1,1,-0.06073253,1.3587487,-0.124485075,-0.47399276,-0.07883204,-0.37443262,0.03134261,-0.15516245,-0.3342438,-0.39638492,-0.7840985,-0.6660471,0.19917251,-0.9416955,-0.7820751,-0.9176814,0.002817395,0.57404655,-0.66575164,0.19849782,-0.082704194,-0.06420279,-0.054664128,0.16845724,-0.3673165,-1.3134816,1.7938393,-0.052538026,0.97750556,0.026862271,1.5353614,2.348684,-0.6964736,-0.6233247,-0.8131833,-0.15879226,0.49524704,-0.058419824,-0.004505851,-0.25175774,-0.73642135,-0.38841808,-0.5825511,1.5923239,0.31007412,1.2014503,-0.81674755,-1.8374423,-0.94793504,0.24363737,1.5621868,,2.651638535
0,1,-1.2373759,-0.47823736,-0.12659621,0.003370798,-0.34714723,-0.63046545,-0.2350698,-0.15582497,-0.39426106,-0.7011373,-0.2212227,0.088783756,-0.61942714,0.22106184,-0.35056886,-0.22036582,0.9013419,-0.6737695,2.2536478,-0.59225094,-0.082901806,-0.13481084,-0.054781713,-0.63905615,-0.17508343,0.16920497,-0.90221727,-0.775036,-0.15006544,-0.3379244,1.6617002,0.5558688,-0.77497464,-0.44300345,-0.17982186,-1.101264,-1.5406601,-0.008362289,-0.9588884,-0.28047934,-0.2538195,0.06324005,-0.09448123,0.16914871,0.8424743,-0.04542315,-0.9139896,0.30249998,0.13930537,-0.60469997,-0.37094533,,0.570618758
0,1,-0.16832894,-0.4549958,-0.12659618,0.625602,-0.12376971,-0.9889114,-0.23060688,-0.15568714,-0.28050813,-0.73658437,-0.5858734,-0.16302483,-0.311483,-0.2966757,-0.4395145,0.03745381,0.48853624,0.5210158,-0.65140235,-0.33029982,-0.082922265,-0.16816351,-0.054786444,0.1515726,-0.31335297,-0.25451443,-0.8405459,0.13408391,-0.8322604,-0.736275,-0.309184,-0.17033477,-0.09851701,-0.6988589,-0.75462055,0.37590307,0.9969333,-0.69801223,0.055521145,-0.2124545,-0.9500442,0.016376954,-0.22005327,1.7468781,0.6881804,0.8020694,-1.0766377,-0.38213497,1.018147,1.3199931,-0.11556413,,0.307180316
1,0,-1.0106668,0.2260533,-0.12659621,-0.33395696,-0.45349962,-1.5180459,-0.2339234,-0.1557709,1.5668414,-0.44162464,1.0063144,0.5180734,-1.9142109,-0.11497349,2.8211014,-0.31883553,0.18845737,2.1527443,-0.6840503,-0.54177964,-0.08291899,-0.14799388,-0.054781374,0.39015353,-0.3447268,0.24263467,0.38522318,-0.5591765,0.68156123,1.0161145,0.8784001,-1.123477,-0.7189533,-0.63337433,0.04136752,-1.109817,-1.5502536,-0.7257548,-0.9402385,-0.70374507,-0.45896766,0.90740216,0.9042924,1.0451943,1.2432002,0.6168367,-0.7459476,0.58200675,0.7759692,-0.08361082,-0.5114589,,2.808765801
1,1,2.8147922,-0.33427092,-0.12659095,0.94075334,-0.24360342,-1.7911475,-0.16332312,-0.15351558,0.95266145,1.5568556,1.6436682,1.6235628,-1.16417,0.7896872,1.8998162,0.4483243,2.2000833,-1.5710754,-0.5043364,-0.5605753,-0.08292197,-0.1425194,-0.05478498,-0.40138483,-0.4505604,0.1344327,3.0201044,-2.1723223,1.1250037,-0.36972174,1.4216566,0.4423995,-0.97185576,-0.7118252,-0.5166081,-0.48881903,-0.07213604,-1.1695793,-0.34503058,-0.8095615,-1.1382833,1.7297484,1.6198841,2.6225445,1.4848642,0.30299702,-0.9736207,0.0599662,0.52487606,-0.16335808,-0.7194456,,2.993091193
1,1,-0.28974542,-0.57088447,-0.12659621,-0.7700578,-0.52485687,0.06935759,-0.23051678,-0.15580308,0.2753561,-0.75705117,-0.87788093,-0.6524365,0.6376019,-0.67416584,0.041322153,-1.1367607,0.049643543,2.2971208,-0.68499875,-0.11985746,-0.08292112,-0.16280761,-0.054785017,0.3946203,-0.63490444,-0.9913643,0.38156924,-0.24044292,0.5140754,-0.8457994,-0.46079051,-0.40862033,0.08417463,-0.10544697,-0.5823001,-1.1269044,-0.79372233,-0.8099252,-1.098026,-0.71735,-0.9750061,-0.39911476,-0.5842861,0.026572444,-0.1284917,1.2028725,-0.52333343,-1.1505424,-0.47059673,-0.5163372,0.9049167,,2.939679352
1,1,-0.57932377,-0.31151962,-0.12659618,0.13807137,-0.49862453,-0.51098347,-0.23352683,-0.15572529,2.0667658,-0.664262,1.2736619,-0.922293,-0.049915917,-0.78523177,-0.3964548,-1.3253045,-0.6966407,1.4241093,-0.2509183,-0.46983036,-0.0829192,-0.15336303,-0.054784294,0.19600509,0.32905522,-0.69475776,-1.4099056,0.6175258,0.3111903,-0.5428409,0.27197418,-0.56747735,-0.16858236,-0.5155098,-0.2393579,1.4730053,-0.49922964,-0.6817521,-0.9127564,1.3022321,-0.106205784,-0.72475153,-0.94394535,0.07185245,0.25992954,-0.8771502,-0.89473623,-1.2066104,0.28461203,-0.25060824,-0.1635844,,2.055732696
1,1,0.9996762,-0.62678117,-0.1265962,1.7379433,-0.24734822,-0.5451212,-0.23255727,-0.15464206,-0.16056752,0.81009763,-0.027140468,2.7140977,-0.2510446,1.3452876,-0.2830847,1.4883806,1.6618179,-0.50552464,-0.61507523,-0.5237897,-0.08291123,-0.15877476,-0.05478427,0.73887175,-0.037544057,-0.03244063,-0.2983976,-0.024128338,0.77997893,1.1044406,0.9542033,-0.26111022,-0.84520406,-0.6252044,1.5266321,-1.0926607,-1.4234347,-1.1440716,-0.85254383,-0.6825818,-0.71566635,1.1737378,-1.9838041,0.70465726,1.2196636,0.13536192,-0.761931,0.87921464,-0.32273838,-0.7704779,0.004320606,,0.63100275
