random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
1,0.545,0.78,0.801,0.967,0.967,0.0,0.876,inf,0.0,0.967,0.801,0.745,0.816,0.829,0.971,0.971,0.164,0.895,0.174,0.579,1.162,0.829
2,0.578,0.76,0.806,0.926,0.926,0.069,0.862,1.079,0.182,0.994,0.806,0.778,0.833,0.865,0.939,0.939,0.388,0.901,0.156,0.605,1.535,0.865
3,0.573,0.733,0.819,0.86,0.86,0.207,0.839,0.679,0.261,1.084,0.819,0.754,0.798,0.843,0.921,0.921,0.284,0.881,0.277,0.463,1.286,0.843
4,0.628,0.807,0.829,0.959,0.959,0.172,0.889,0.24,0.5,1.158,0.829,0.784,0.79,0.818,0.95,0.95,0.119,0.879,0.419,0.364,1.079,0.818
5,0.544,0.787,0.811,0.959,0.959,0.069,0.879,0.599,0.286,1.03,0.811,0.715,0.83,0.834,0.986,0.986,0.179,0.903,0.08,0.75,1.201,0.834
6,0.438,0.773,0.804,0.95,0.95,0.034,0.871,1.438,0.143,0.984,0.804,0.832,0.824,0.843,0.961,0.961,0.254,0.898,0.155,0.607,1.287,0.843
7,0.583,0.787,0.82,0.942,0.942,0.138,0.877,0.419,0.364,1.093,0.82,0.801,0.816,0.835,0.961,0.961,0.209,0.894,0.188,0.56,1.214,0.835
8,0.554,0.753,0.8,0.926,0.926,0.034,0.858,2.157,0.1,0.959,0.8,0.781,0.81,0.83,0.961,0.961,0.179,0.891,0.219,0.522,1.17,0.83
9,0.542,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.749,0.821,0.824,0.989,0.989,0.119,0.899,0.09,0.727,1.123,0.824
10,0.509,0.76,0.81,0.917,0.917,0.103,0.86,0.799,0.231,1.023,0.81,0.789,0.821,0.847,0.95,0.95,0.284,0.896,0.176,0.576,1.326,0.847
11,0.459,0.787,0.816,0.95,0.95,0.103,0.878,0.479,0.333,1.06,0.816,0.79,0.83,0.844,0.968,0.968,0.254,0.902,0.127,0.654,1.297,0.844
12,0.519,0.74,0.811,0.884,0.884,0.138,0.846,0.839,0.222,1.026,0.811,0.814,0.821,0.854,0.939,0.939,0.328,0.895,0.185,0.564,1.398,0.854
13,0.543,0.753,0.8,0.926,0.926,0.034,0.858,2.157,0.1,0.959,0.8,0.761,0.81,0.832,0.957,0.957,0.194,0.89,0.221,0.52,1.188,0.832
14,0.478,0.787,0.811,0.959,0.959,0.069,0.879,0.599,0.286,1.03,0.811,0.748,0.818,0.828,0.979,0.979,0.149,0.897,0.144,0.625,1.15,0.828
15,0.516,0.72,0.797,0.876,0.876,0.069,0.835,1.798,0.118,0.941,0.797,0.772,0.807,0.828,0.961,0.961,0.164,0.889,0.239,0.5,1.149,0.828
16,0.515,0.773,0.822,0.917,0.917,0.172,0.867,0.479,0.333,1.108,0.822,0.788,0.827,0.857,0.943,0.943,0.343,0.898,0.166,0.59,1.436,0.857
17,0.669,0.787,0.83,0.926,0.926,0.207,0.875,0.36,0.4,1.167,0.83,0.767,0.81,0.85,0.929,0.929,0.313,0.887,0.228,0.512,1.352,0.85
18,0.577,0.713,0.791,0.876,0.876,0.034,0.831,3.595,0.062,0.907,0.791,0.735,0.818,0.84,0.957,0.957,0.239,0.895,0.179,0.571,1.257,0.84
19,0.601,0.793,0.821,0.95,0.95,0.138,0.881,0.36,0.4,1.102,0.821,0.79,0.827,0.837,0.975,0.975,0.209,0.901,0.12,0.667,1.233,0.837
20,0.601,0.78,0.819,0.934,0.934,0.138,0.873,0.479,0.333,1.083,0.819,0.781,0.813,0.839,0.95,0.95,0.239,0.891,0.209,0.533,1.248,0.839
21,0.557,0.8,0.814,0.975,0.975,0.069,0.887,0.36,0.4,1.047,0.814,0.77,0.821,0.828,0.982,0.982,0.149,0.899,0.12,0.667,1.154,0.828
22,0.631,0.78,0.814,0.942,0.942,0.103,0.874,0.559,0.3,1.051,0.814,0.778,0.824,0.833,0.979,0.979,0.179,0.9,0.12,0.667,1.192,0.833
23,0.541,0.78,0.806,0.959,0.959,0.034,0.875,1.198,0.167,0.993,0.806,0.778,0.81,0.822,0.975,0.975,0.119,0.892,0.209,0.533,1.107,0.822
24,0.686,0.8,0.814,0.975,0.975,0.069,0.887,0.36,0.4,1.047,0.814,0.726,0.836,0.843,0.979,0.979,0.239,0.906,0.09,0.727,1.286,0.843
25,0.633,0.827,0.837,0.975,0.975,0.207,0.901,0.12,0.667,1.23,0.837,0.77,0.818,0.838,0.961,0.961,0.224,0.895,0.175,0.577,1.238,0.838
26,0.568,0.76,0.797,0.942,0.942,0.0,0.864,inf,0.0,0.942,0.797,0.784,0.821,0.83,0.979,0.979,0.164,0.898,0.131,0.647,1.171,0.83
27,0.512,0.76,0.801,0.934,0.934,0.034,0.863,1.917,0.111,0.967,0.801,0.797,0.839,0.857,0.961,0.961,0.328,0.906,0.12,0.667,1.43,0.857
28,0.524,0.747,0.803,0.909,0.909,0.069,0.853,1.318,0.154,0.976,0.803,0.777,0.824,0.837,0.971,0.971,0.209,0.899,0.137,0.636,1.228,0.837
29,0.6,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.77,0.816,0.846,0.943,0.943,0.284,0.892,0.202,0.543,1.316,0.846
30,0.532,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.795,0.827,0.844,0.964,0.964,0.254,0.9,0.141,0.63,1.292,0.844
31,0.483,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.738,0.804,0.815,0.979,0.979,0.075,0.89,0.287,0.455,1.057,0.815
32,0.654,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.761,0.833,0.847,0.968,0.968,0.269,0.903,0.12,0.667,1.323,0.847
33,0.515,0.787,0.807,0.967,0.967,0.034,0.88,0.959,0.2,1.001,0.807,0.798,0.836,0.863,0.946,0.946,0.373,0.903,0.144,0.625,1.51,0.863
34,0.619,0.78,0.806,0.959,0.959,0.034,0.875,1.198,0.167,0.993,0.806,0.805,0.83,0.836,0.982,0.982,0.194,0.903,0.092,0.722,1.219,0.836
35,0.573,0.773,0.804,0.95,0.95,0.034,0.871,1.438,0.143,0.984,0.804,0.767,0.795,0.83,0.939,0.939,0.194,0.881,0.313,0.433,1.165,0.83
36,0.611,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,0.736,0.813,0.823,0.979,0.979,0.119,0.894,0.179,0.571,1.111,0.823
37,0.545,0.74,0.793,0.917,0.917,0.0,0.851,inf,0.0,0.917,0.793,0.772,0.813,0.839,0.95,0.95,0.239,0.891,0.209,0.533,1.248,0.839
38,0.541,0.74,0.811,0.884,0.884,0.138,0.846,0.839,0.222,1.026,0.811,0.784,0.827,0.842,0.968,0.968,0.239,0.9,0.135,0.64,1.271,0.842
39,0.511,0.787,0.811,0.959,0.959,0.069,0.879,0.599,0.286,1.03,0.811,0.792,0.839,0.852,0.968,0.968,0.299,0.906,0.108,0.69,1.38,0.852
40,0.58,0.76,0.806,0.926,0.926,0.069,0.862,1.079,0.182,0.994,0.806,0.754,0.81,0.836,0.95,0.95,0.224,0.89,0.223,0.517,1.224,0.836
41,0.556,0.78,0.806,0.959,0.959,0.034,0.875,1.198,0.167,0.993,0.806,0.738,0.804,0.819,0.971,0.971,0.104,0.889,0.273,0.467,1.085,0.819
42,0.555,0.76,0.806,0.926,0.926,0.069,0.862,1.079,0.182,0.994,0.806,0.755,0.841,0.842,0.989,0.989,0.224,0.91,0.048,0.833,1.275,0.842
43,0.425,0.707,0.798,0.851,0.851,0.103,0.824,1.438,0.143,0.949,0.798,0.803,0.807,0.851,0.921,0.921,0.328,0.885,0.239,0.5,1.372,0.851
44,0.622,0.727,0.799,0.884,0.884,0.069,0.839,1.678,0.125,0.95,0.799,0.772,0.818,0.844,0.95,0.95,0.269,0.894,0.186,0.562,1.299,0.844
45,0.635,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,0.765,0.807,0.83,0.957,0.957,0.179,0.889,0.239,0.5,1.166,0.83
46,0.626,0.813,0.825,0.975,0.975,0.138,0.894,0.18,0.571,1.131,0.825,0.799,0.824,0.843,0.961,0.961,0.254,0.898,0.155,0.607,1.287,0.843
47,0.568,0.753,0.796,0.934,0.934,0.0,0.859,inf,0.0,0.934,0.796,0.794,0.836,0.847,0.971,0.971,0.269,0.905,0.106,0.692,1.328,0.847
48,0.69,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.757,0.816,0.831,0.968,0.968,0.179,0.894,0.179,0.571,1.179,0.831
49,0.575,0.78,0.801,0.967,0.967,0.0,0.876,inf,0.0,0.967,0.801,0.718,0.804,0.825,0.961,0.961,0.149,0.888,0.263,0.476,1.129,0.825
50,0.617,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,0.746,0.833,0.838,0.982,0.982,0.209,0.905,0.085,0.737,1.242,0.838
51,0.568,0.8,0.818,0.967,0.967,0.103,0.886,0.32,0.429,1.079,0.818,0.734,0.833,0.834,0.989,0.989,0.179,0.905,0.06,0.8,1.205,0.834
52,0.537,0.767,0.807,0.934,0.934,0.069,0.866,0.959,0.2,1.003,0.807,0.755,0.821,0.832,0.975,0.975,0.179,0.898,0.14,0.632,1.188,0.832
53,0.561,0.753,0.809,0.909,0.909,0.103,0.856,0.879,0.214,1.014,0.809,0.785,0.818,0.838,0.961,0.961,0.224,0.895,0.175,0.577,1.238,0.838
54,0.629,0.793,0.821,0.95,0.95,0.138,0.881,0.36,0.4,1.102,0.821,0.723,0.83,0.84,0.975,0.975,0.224,0.902,0.112,0.682,1.256,0.84
55,0.65,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.775,0.827,0.844,0.964,0.964,0.254,0.9,0.141,0.63,1.292,0.844
56,0.561,0.733,0.8,0.893,0.893,0.069,0.844,1.558,0.133,0.959,0.8,0.792,0.833,0.854,0.957,0.957,0.313,0.902,0.137,0.636,1.394,0.854
57,0.639,0.807,0.843,0.934,0.934,0.276,0.886,0.24,0.5,1.29,0.843,0.775,0.816,0.829,0.971,0.971,0.164,0.895,0.174,0.579,1.162,0.829
58,0.577,0.8,0.814,0.975,0.975,0.069,0.887,0.36,0.4,1.047,0.814,0.78,0.821,0.845,0.954,0.954,0.269,0.896,0.173,0.581,1.304,0.845
59,0.602,0.807,0.819,0.975,0.975,0.103,0.891,0.24,0.5,1.088,0.819,0.824,0.83,0.84,0.975,0.975,0.224,0.902,0.112,0.682,1.256,0.84
60,0.618,0.767,0.803,0.942,0.942,0.034,0.867,1.678,0.125,0.976,0.803,0.764,0.816,0.838,0.957,0.957,0.224,0.893,0.191,0.556,1.233,0.838
61,0.619,0.767,0.807,0.934,0.934,0.069,0.866,0.959,0.2,1.003,0.807,0.754,0.841,0.857,0.964,0.964,0.328,0.908,0.109,0.688,1.436,0.857
62,0.597,0.78,0.819,0.934,0.934,0.138,0.873,0.479,0.333,1.083,0.819,0.787,0.807,0.84,0.939,0.939,0.254,0.887,0.239,0.5,1.259,0.84
63,0.586,0.787,0.811,0.959,0.959,0.069,0.879,0.599,0.286,1.03,0.811,0.771,0.833,0.845,0.971,0.971,0.254,0.904,0.113,0.68,1.302,0.845
64,0.509,0.753,0.804,0.917,0.917,0.069,0.857,1.198,0.167,0.985,0.804,0.783,0.807,0.834,0.95,0.95,0.209,0.888,0.239,0.5,1.201,0.834
65,0.679,0.813,0.821,0.983,0.983,0.103,0.895,0.16,0.6,1.097,0.821,0.761,0.833,0.834,0.989,0.989,0.179,0.905,0.06,0.8,1.205,0.834
66,0.579,0.8,0.818,0.967,0.967,0.103,0.886,0.32,0.429,1.079,0.818,0.743,0.818,0.826,0.982,0.982,0.134,0.897,0.133,0.643,1.135,0.826
67,0.565,0.753,0.804,0.917,0.917,0.069,0.857,1.198,0.167,0.985,0.804,0.788,0.83,0.849,0.961,0.961,0.284,0.901,0.139,0.633,1.341,0.849
68,0.574,0.78,0.806,0.959,0.959,0.034,0.875,1.198,0.167,0.993,0.806,0.749,0.827,0.848,0.957,0.957,0.284,0.899,0.151,0.613,1.336,0.848
69,0.577,0.8,0.818,0.967,0.967,0.103,0.886,0.32,0.429,1.079,0.818,0.773,0.821,0.832,0.975,0.975,0.179,0.898,0.14,0.632,1.188,0.832
70,0.548,0.767,0.812,0.926,0.926,0.103,0.865,0.719,0.25,1.032,0.812,0.807,0.813,0.846,0.939,0.939,0.284,0.89,0.214,0.528,1.311,0.846
