random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
1,0.575,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.867,0.83,0.826,1.0,1.0,0.119,0.905,0.0,1.0,1.136,0.826
2,0.63,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,0.971,0.966,1.0,1.0,0.851,0.982,0.0,1.0,6.7,0.966
3,0.584,0.773,0.804,0.95,0.95,0.034,0.871,1.438,0.143,0.984,0.804,0.944,0.888,0.878,1.0,1.0,0.418,0.935,0.0,1.0,1.718,0.878
4,0.581,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.817,0.81,0.809,1.0,1.0,0.015,0.895,0.0,1.0,1.015,0.809
5,0.697,0.807,0.811,0.992,0.992,0.034,0.892,0.24,0.5,1.027,0.811,0.803,0.824,0.821,1.0,1.0,0.09,0.902,0.0,1.0,1.098,0.821
6,0.611,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.988,0.888,0.878,1.0,1.0,0.418,0.935,0.0,1.0,1.718,0.878
7,0.5,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,0.996,0.885,0.875,1.0,1.0,0.403,0.933,0.0,1.0,1.675,0.875
8,0.557,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,0.945,0.936,1.0,1.0,0.716,0.967,0.0,1.0,3.526,0.936
9,0.677,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.989,0.879,0.87,1.0,1.0,0.373,0.93,0.0,1.0,1.595,0.87
10,0.541,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,1.0,0.951,0.943,1.0,1.0,0.746,0.971,0.0,1.0,3.941,0.943
11,0.576,0.827,0.823,1.0,1.0,0.103,0.903,0.0,1.0,1.115,0.823,0.963,0.873,0.864,1.0,1.0,0.343,0.927,0.0,1.0,1.523,0.864
12,0.612,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.998,0.908,0.897,1.0,1.0,0.522,0.946,0.0,1.0,2.094,0.897
13,0.658,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,0.911,0.9,1.0,1.0,0.537,0.948,0.0,1.0,2.161,0.9
14,0.609,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.989,0.954,0.946,1.0,1.0,0.761,0.972,0.0,1.0,4.188,0.946
15,0.572,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,0.905,0.847,0.841,1.0,1.0,0.209,0.914,0.0,1.0,1.264,0.841
16,0.584,0.82,0.826,0.983,0.983,0.138,0.898,0.12,0.667,1.141,0.826,1.0,0.98,0.976,1.0,1.0,0.896,0.988,0.0,1.0,9.571,0.976
17,0.558,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.993,0.911,0.9,1.0,1.0,0.537,0.948,0.0,1.0,2.161,0.9
18,0.528,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,0.893,0.883,1.0,1.0,0.448,0.938,0.0,1.0,1.811,0.883
19,0.563,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.842,0.824,0.823,0.996,0.996,0.104,0.901,0.034,0.875,1.113,0.823
20,0.645,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.955,0.867,0.859,1.0,1.0,0.313,0.924,0.0,1.0,1.457,0.859
21,0.606,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.991,0.885,0.875,1.0,1.0,0.403,0.933,0.0,1.0,1.675,0.875
22,0.603,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,1.0,0.945,0.936,1.0,1.0,0.716,0.967,0.0,1.0,3.526,0.936
23,0.675,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.995,0.89,0.881,1.0,1.0,0.433,0.936,0.0,1.0,1.763,0.881
24,0.536,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.974,0.87,0.864,0.996,0.996,0.343,0.925,0.01,0.958,1.517,0.864
25,0.575,0.807,0.811,0.992,0.992,0.034,0.892,0.24,0.5,1.027,0.811,0.983,0.853,0.846,1.0,1.0,0.239,0.917,0.0,1.0,1.314,0.846
26,0.565,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.997,0.87,0.862,1.0,1.0,0.328,0.926,0.0,1.0,1.489,0.862
27,0.552,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.955,0.867,0.859,1.0,1.0,0.313,0.924,0.0,1.0,1.457,0.859
28,0.588,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.965,0.856,0.848,1.0,1.0,0.254,0.918,0.0,1.0,1.34,0.848
29,0.597,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.914,0.813,0.812,1.0,1.0,0.03,0.896,0.0,1.0,1.031,0.812
30,0.508,0.807,0.819,0.975,0.975,0.103,0.891,0.24,0.5,1.088,0.819,0.984,0.873,0.866,0.996,0.996,0.358,0.927,0.01,0.96,1.553,0.866
31,0.467,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,1.0,0.954,0.946,1.0,1.0,0.761,0.972,0.0,1.0,4.188,0.946
32,0.524,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.997,0.885,0.875,1.0,1.0,0.403,0.933,0.0,1.0,1.675,0.875
33,0.616,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,1.0,0.954,0.946,1.0,1.0,0.761,0.972,0.0,1.0,4.188,0.946
34,0.55,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,0.985,0.862,0.854,1.0,1.0,0.284,0.921,0.0,1.0,1.396,0.854
35,0.667,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.964,0.862,0.856,0.996,0.996,0.299,0.921,0.012,0.952,1.42,0.856
36,0.526,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,1.0,0.971,0.966,1.0,1.0,0.851,0.982,0.0,1.0,6.7,0.966
37,0.583,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.989,0.882,0.872,1.0,1.0,0.388,0.932,0.0,1.0,1.634,0.872
38,0.619,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.998,0.905,0.895,1.0,1.0,0.507,0.944,0.0,1.0,2.03,0.895
39,0.502,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.782,0.818,0.818,0.996,0.996,0.075,0.899,0.048,0.833,1.077,0.818
40,0.579,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.968,0.859,0.853,0.996,0.996,0.284,0.919,0.013,0.95,1.391,0.853
41,0.512,0.8,0.814,0.975,0.975,0.069,0.887,0.36,0.4,1.047,0.814,0.843,0.816,0.816,0.996,0.996,0.06,0.897,0.06,0.8,1.06,0.816
42,0.535,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.986,0.922,0.912,1.0,1.0,0.597,0.954,0.0,1.0,2.481,0.912
43,0.556,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,0.957,0.949,1.0,1.0,0.776,0.974,0.0,1.0,4.467,0.949
44,0.649,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.988,0.885,0.875,1.0,1.0,0.403,0.933,0.0,1.0,1.675,0.875
