random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
1,0.603,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.709,0.81,0.815,0.989,0.989,0.06,0.894,0.179,0.571,1.052,0.815
2,0.6,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.704,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
3,0.606,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.704,0.807,0.81,0.993,0.993,0.03,0.892,0.239,0.5,1.023,0.81
4,0.537,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.756,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
5,0.562,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.71,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
6,0.645,0.813,0.816,0.992,0.992,0.069,0.896,0.12,0.667,1.065,0.816,0.744,0.813,0.813,0.996,0.996,0.045,0.896,0.08,0.75,1.043,0.813
7,0.539,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.716,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
8,0.59,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,0.731,0.816,0.818,0.993,0.993,0.075,0.897,0.096,0.714,1.073,0.818
9,0.478,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.7,0.804,0.81,0.989,0.989,0.03,0.891,0.359,0.4,1.02,0.81
10,0.522,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.749,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
11,0.708,0.807,0.811,0.992,0.992,0.034,0.892,0.24,0.5,1.027,0.811,0.788,0.818,0.82,0.993,0.993,0.09,0.898,0.08,0.75,1.091,0.82
12,0.586,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.754,0.813,0.813,0.996,0.996,0.045,0.896,0.08,0.75,1.043,0.813
13,0.61,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.722,0.81,0.811,0.996,0.996,0.03,0.894,0.12,0.667,1.027,0.811
14,0.54,0.813,0.816,0.992,0.992,0.069,0.896,0.12,0.667,1.065,0.816,0.713,0.816,0.821,0.986,0.986,0.104,0.896,0.137,0.636,1.101,0.821
15,0.63,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.71,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
16,0.557,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.751,0.818,0.816,1.0,1.0,0.06,0.899,0.0,1.0,1.063,0.816
17,0.594,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.687,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
18,0.559,0.813,0.816,0.992,0.992,0.069,0.896,0.12,0.667,1.065,0.816,0.675,0.793,0.804,0.982,0.982,0.0,0.884,inf,0.0,0.982,0.804
19,0.617,0.793,0.826,0.942,0.942,0.172,0.88,0.336,0.417,1.138,0.826,0.768,0.804,0.819,0.971,0.971,0.104,0.889,0.273,0.467,1.085,0.819
20,0.503,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.736,0.807,0.814,0.986,0.986,0.06,0.892,0.239,0.5,1.048,0.814
21,0.661,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.746,0.818,0.818,0.996,0.996,0.075,0.899,0.048,0.833,1.077,0.818
22,0.654,0.8,0.818,0.967,0.967,0.103,0.886,0.32,0.429,1.079,0.818,0.726,0.813,0.815,0.993,0.993,0.06,0.895,0.12,0.667,1.056,0.815
23,0.551,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.705,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
24,0.577,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.8,0.807,0.816,0.982,0.982,0.075,0.891,0.239,0.5,1.061,0.816
25,0.624,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.678,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
26,0.616,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.643,0.801,0.806,0.993,0.993,0.0,0.89,inf,0.0,0.993,0.806
27,0.651,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.754,0.813,0.815,0.993,0.993,0.06,0.895,0.12,0.667,1.056,0.815
28,0.653,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.75,0.81,0.809,1.0,1.0,0.015,0.895,0.0,1.0,1.015,0.809
29,0.618,0.813,0.816,0.992,0.992,0.069,0.896,0.12,0.667,1.065,0.816,0.7,0.816,0.818,0.993,0.993,0.075,0.897,0.096,0.714,1.073,0.818
30,0.622,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.714,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
