random_state,test_AUC,train_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
7,0.476,0.841,0.733,0.809,0.876,0.876,0.138,0.841,0.899,0.211,1.016,0.809,0.841,0.862,0.877,0.964,0.964,0.433,0.918,0.083,0.744,1.7,0.877
27,0.49,0.882,0.707,0.798,0.851,0.851,0.103,0.824,1.438,0.143,0.949,0.798,0.882,0.876,0.894,0.961,0.961,0.522,0.926,0.075,0.761,2.011,0.894
95,0.504,0.851,0.727,0.808,0.868,0.868,0.138,0.837,0.959,0.2,1.007,0.808,0.851,0.853,0.875,0.954,0.954,0.433,0.913,0.107,0.69,1.681,0.875
80,0.508,0.838,0.76,0.824,0.893,0.893,0.207,0.857,0.519,0.316,1.125,0.824,0.838,0.821,0.849,0.946,0.946,0.299,0.895,0.179,0.571,1.349,0.849
10,0.509,0.871,0.733,0.805,0.884,0.884,0.103,0.843,1.118,0.176,0.986,0.805,0.871,0.841,0.859,0.961,0.961,0.343,0.907,0.114,0.676,1.463,0.859
39,0.509,0.874,0.72,0.797,0.876,0.876,0.069,0.835,1.798,0.118,0.941,0.797,0.874,0.859,0.874,0.964,0.964,0.418,0.917,0.085,0.737,1.657,0.874
63,0.511,0.817,0.727,0.794,0.893,0.893,0.034,0.84,3.116,0.071,0.924,0.794,0.817,0.833,0.847,0.968,0.968,0.269,0.903,0.12,0.667,1.323,0.847
12,0.517,0.847,0.66,0.807,0.76,0.76,0.241,0.783,0.993,0.194,1.002,0.807,0.847,0.844,0.865,0.957,0.957,0.373,0.908,0.115,0.676,1.527,0.865
20,0.518,0.858,0.747,0.817,0.884,0.884,0.172,0.849,0.671,0.263,1.069,0.817,0.858,0.836,0.859,0.954,0.954,0.343,0.904,0.135,0.639,1.452,0.859
23,0.523,0.842,0.753,0.818,0.893,0.893,0.172,0.854,0.623,0.278,1.079,0.818,0.842,0.836,0.852,0.964,0.964,0.299,0.905,0.12,0.667,1.375,0.852
2,0.525,0.858,0.773,0.827,0.909,0.909,0.207,0.866,0.439,0.353,1.146,0.827,0.858,0.859,0.874,0.964,0.964,0.418,0.917,0.085,0.737,1.657,0.874
75,0.526,0.786,0.78,0.814,0.942,0.942,0.103,0.874,0.559,0.3,1.051,0.814,0.786,0.816,0.835,0.961,0.961,0.209,0.894,0.188,0.56,1.214,0.835
76,0.527,0.835,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.835,0.824,0.848,0.954,0.954,0.284,0.897,0.164,0.594,1.331,0.848
60,0.528,0.844,0.773,0.822,0.917,0.917,0.172,0.867,0.479,0.333,1.108,0.822,0.844,0.833,0.858,0.95,0.95,0.343,0.902,0.146,0.622,1.447,0.858
22,0.532,0.788,0.727,0.794,0.893,0.893,0.034,0.84,3.116,0.071,0.924,0.794,0.788,0.844,0.851,0.979,0.979,0.284,0.91,0.076,0.76,1.366,0.851
8,0.535,0.783,0.787,0.82,0.942,0.942,0.138,0.877,0.419,0.364,1.093,0.82,0.783,0.824,0.843,0.961,0.961,0.254,0.898,0.155,0.607,1.287,0.843
69,0.535,0.825,0.773,0.818,0.926,0.926,0.138,0.868,0.539,0.308,1.074,0.818,0.825,0.83,0.846,0.964,0.964,0.269,0.902,0.133,0.643,1.319,0.846
94,0.537,0.798,0.733,0.805,0.884,0.884,0.103,0.843,1.118,0.176,0.986,0.805,0.798,0.847,0.851,0.982,0.982,0.284,0.912,0.063,0.792,1.371,0.851
5,0.537,0.81,0.72,0.802,0.868,0.868,0.103,0.833,1.278,0.158,0.968,0.802,0.81,0.821,0.839,0.964,0.964,0.224,0.897,0.16,0.6,1.242,0.839
15,0.537,0.827,0.74,0.801,0.901,0.901,0.069,0.848,1.438,0.143,0.968,0.801,0.827,0.798,0.832,0.939,0.939,0.209,0.883,0.291,0.452,1.187,0.832
33,0.537,0.834,0.787,0.83,0.926,0.926,0.207,0.875,0.36,0.4,1.167,0.83,0.834,0.827,0.855,0.946,0.946,0.328,0.898,0.163,0.595,1.409,0.855
