random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
1,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
2,0.572,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,0.729,0.81,0.809,1.0,1.0,0.015,0.895,0.0,1.0,1.015,0.809
3,0.645,0.773,0.8,0.959,0.959,0.0,0.872,inf,0.0,0.959,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,1.0
4,0.608,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.991,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
5,0.542,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.958,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
6,0.66,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,0.882,0.872,1.0,1.0,0.388,0.932,0.0,1.0,1.634,0.872
7,0.425,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.583,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
8,0.495,0.213,1.0,0.025,0.025,1.0,0.048,0.975,0.197,inf,1.0,0.635,0.231,1.0,0.046,0.046,1.0,0.089,0.954,0.201,inf,1.0
9,0.575,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.922,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
10,0.494,0.773,0.809,0.942,0.942,0.069,0.87,0.839,0.222,1.012,0.809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,1.0
11,0.533,0.807,0.811,0.992,0.992,0.034,0.892,0.24,0.5,1.027,0.811,1.0,0.833,0.828,1.0,1.0,0.134,0.906,0.0,1.0,1.155,0.828
12,0.501,0.767,0.799,0.95,0.95,0.0,0.868,inf,0.0,0.95,0.799,1.0,0.974,0.969,1.0,1.0,0.866,0.984,0.0,1.0,7.444,0.969
13,0.667,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,1.0
14,0.628,0.773,0.818,0.926,0.926,0.138,0.868,0.539,0.308,1.074,0.818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,1.0
15,0.575,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.759,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,
16,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
17,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
18,0.634,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
19,0.51,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.604,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,
20,0.638,0.78,0.801,0.967,0.967,0.0,0.876,inf,0.0,0.967,0.801,1.0,0.902,0.892,1.0,1.0,0.493,0.943,0.0,1.0,1.971,0.892
21,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
22,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
23,0.572,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,1.0
24,0.635,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,1.0
25,0.539,0.2,1.0,0.008,0.008,1.0,0.016,0.992,0.195,inf,1.0,0.562,0.213,0.889,0.029,0.029,0.985,0.055,0.986,0.195,1.914,0.889
26,0.601,0.793,0.804,0.983,0.983,0.0,0.885,inf,0.0,0.983,0.804,0.985,0.833,0.828,1.0,1.0,0.134,0.906,0.0,1.0,1.155,0.828
27,0.494,0.2,1.0,0.008,0.008,1.0,0.016,0.992,0.195,inf,1.0,0.549,0.222,1.0,0.036,0.036,1.0,0.069,0.964,0.199,inf,1.0
28,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
29,0.454,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.506,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,
30,0.572,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,0.783,0.83,0.826,1.0,1.0,0.119,0.905,0.0,1.0,1.136,0.826
31,0.37,0.807,0.819,0.975,0.975,0.103,0.891,0.24,0.5,1.088,0.819,0.689,0.674,0.781,0.829,0.829,0.03,0.804,5.743,0.04,0.854,0.781
32,0.68,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.758,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
33,0.431,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.524,0.804,0.806,0.996,0.996,0.0,0.891,inf,0.0,0.996,0.806
34,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
35,0.611,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.595,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,
36,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
37,0.56,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,0.957,0.876,0.867,1.0,1.0,0.358,0.929,0.0,1.0,1.558,0.867
38,0.565,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,1.0,0.954,0.946,1.0,1.0,0.761,0.972,0.0,1.0,4.188,0.946
39,0.535,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.957,0.833,0.828,1.0,1.0,0.134,0.906,0.0,1.0,1.155,0.828
40,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
41,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
42,0.616,0.807,0.811,0.992,0.992,0.034,0.892,0.24,0.5,1.027,0.811,0.778,0.81,0.809,1.0,1.0,0.015,0.895,0.0,1.0,1.015,0.809
43,0.546,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.657,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
44,0.601,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.554,0.801,0.806,0.993,0.993,0.0,0.89,inf,0.0,0.993,0.806
45,0.609,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.684,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,
46,0.618,0.793,0.808,0.975,0.975,0.034,0.884,0.719,0.25,1.01,0.808,0.773,0.816,0.818,0.993,0.993,0.075,0.897,0.096,0.714,1.073,0.818
47,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
48,0.43,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.586,0.216,1.0,0.029,0.029,1.0,0.056,0.971,0.198,inf,1.0
49,0.395,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.572,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,
50,0.62,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.651,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
51,0.509,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.53,0.801,0.809,0.986,0.986,0.03,0.889,0.479,0.333,1.016,0.809
52,0.635,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,,0.543,0.193,0.0,0.0,0.0,1.0,0.0,1.0,0.193,,
53,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
54,0.628,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.915,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
55,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
56,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.5,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
57,0.614,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.926,0.836,0.831,1.0,1.0,0.149,0.908,0.0,1.0,1.175,0.831
