random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
1,0.538,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.655,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
2,0.522,0.8,0.814,0.975,0.975,0.069,0.887,0.36,0.4,1.047,0.814,0.549,0.821,0.822,0.993,0.993,0.104,0.9,0.068,0.778,1.109,0.822
3,0.575,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.638,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
4,0.488,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,0.536,0.818,0.818,0.996,0.996,0.075,0.899,0.048,0.833,1.077,0.818
5,0.605,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.621,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
6,0.526,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,0.57,0.818,0.83,0.975,0.975,0.164,0.897,0.152,0.611,1.167,0.83
7,0.462,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.623,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
8,0.528,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.576,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
9,0.503,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.642,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
10,0.497,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.591,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
11,0.488,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,0.553,0.818,0.824,0.986,0.986,0.119,0.898,0.12,0.667,1.119,0.824
12,0.542,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.632,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
13,0.486,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.647,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
14,0.583,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.625,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
15,0.518,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.53,0.818,0.816,1.0,1.0,0.06,0.899,0.0,1.0,1.063,0.816
16,0.557,0.793,0.826,0.942,0.942,0.172,0.88,0.336,0.417,1.138,0.826,0.549,0.821,0.822,0.993,0.993,0.104,0.9,0.068,0.778,1.109,0.822
17,0.593,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.63,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
18,0.606,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.635,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
19,0.555,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.622,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
20,0.528,0.8,0.818,0.967,0.967,0.103,0.886,0.32,0.429,1.079,0.818,0.594,0.841,0.836,1.0,1.0,0.179,0.911,0.0,1.0,1.218,0.836
21,0.51,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.601,0.841,0.84,0.993,0.993,0.209,0.91,0.034,0.875,1.255,0.84
22,0.536,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.645,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
23,0.539,0.807,0.819,0.975,0.975,0.103,0.891,0.24,0.5,1.088,0.819,0.556,0.816,0.825,0.979,0.979,0.134,0.895,0.16,0.6,1.13,0.825
24,0.502,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.601,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
25,0.517,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.579,0.816,0.833,0.964,0.964,0.194,0.894,0.184,0.565,1.196,0.833
26,0.636,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.623,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
27,0.532,0.713,0.81,0.843,0.843,0.172,0.826,0.911,0.208,1.019,0.81,0.731,0.821,0.852,0.943,0.943,0.313,0.895,0.182,0.568,1.373,0.852
28,0.557,0.813,0.825,0.975,0.975,0.138,0.894,0.18,0.571,1.131,0.825,0.564,0.818,0.828,0.979,0.979,0.149,0.897,0.144,0.625,1.15,0.828
29,0.569,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.639,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
30,0.51,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.549,0.821,0.822,0.993,0.993,0.104,0.9,0.068,0.778,1.109,0.822
31,0.501,0.787,0.807,0.967,0.967,0.034,0.88,0.959,0.2,1.001,0.807,0.541,0.818,0.82,0.993,0.993,0.09,0.898,0.08,0.75,1.091,0.82
32,0.539,0.807,0.819,0.975,0.975,0.103,0.891,0.24,0.5,1.088,0.819,0.562,0.816,0.827,0.975,0.975,0.149,0.895,0.168,0.588,1.146,0.827
33,0.455,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.629,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
34,0.549,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.654,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
35,0.526,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,0.575,0.818,0.832,0.971,0.971,0.179,0.896,0.16,0.6,1.183,0.832
36,0.505,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.615,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
37,0.571,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.636,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
38,0.501,0.787,0.807,0.967,0.967,0.034,0.88,0.959,0.2,1.001,0.807,0.571,0.821,0.83,0.979,0.979,0.164,0.898,0.131,0.647,1.171,0.83
39,0.455,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.62,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
40,0.606,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.624,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
41,0.529,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.614,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
42,0.572,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.611,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
43,0.537,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.587,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
